,index,rank,university,province
345,346,346,长春大学,吉林
346,347,346,金陵科技学院,江苏
347,348,348,湖北汽车工业学院,湖北
348,349,348,南京晓庄学院,江苏
349,350,348,西安科技大学,陕西
350,351,348,郑州师范学院,河南
351,352,352,广东技术师范学院,广东
352,353,352,哈尔滨商业大学,黑龙江
353,354,352,海南师范大学,海南
354,355,352,湖南商学院,湖南
355,356,352,山西大同大学,山西
356,357,352,沈阳农业大学,辽宁
357,358,358,安阳师范学院,河南
358,359,358,嘉兴学院,浙江
359,360,358,齐齐哈尔医学院,黑龙江
360,361,358,山东中医药大学,山东
361,362,358,太原师范学院,山西
362,363,358,潍坊医学院,山东
363,364,364,安徽建筑大学,安徽
364,365,364,滨州医学院,山东
365,366,364,川北医学院,四川
366,367,364,广东金融学院,广东
367,368,364,淮北师范大学,安徽
368,369,364,吉首大学,湖南
369,370,364,南昌航空大学,江西
370,371,364,西安医学院,陕西
371,372,364,郑州轻工业学院,河南
372,373,373,长沙学院,湖南
373,374,373,大连海洋大学,辽宁
374,375,373,辽宁工程技术大学,辽宁
375,376,373,山西农业大学,山西
376,377,377,湖南第一师范学院,湖南
377,378,377,吉林农业大学,吉林
378,379,377,济宁医学院,山东
379,380,377,西华大学,四川
380,381,381,北京农学院,北京
381,382,381,佛山科学技术学院,广东
382,383,381,淮海工学院,江苏
383,384,381,江苏第二师范学院,江苏
384,385,385,西安石油大学,陕西
385,386,386,海南医学院,海南
386,387,386,河北科技师范学院,河北
387,388,386,湖北民族学院,湖北
388,389,386,陕西中医药大学,陕西
389,390,386,石河子大学,新疆
390,391,391,北华大学,吉林
391,392,391,长治医学院,山西
392,393,391,牡丹江医学院,黑龙江
393,394,391,浙江外国语学院,浙江
394,395,395,安徽工程大学,安徽
395,396,395,湖南理工学院,湖南
396,397,397,西安工程大学,陕西
397,398,398,北京石油化工学院,北京
398,399,398,河南中医药大学,河南
399,400,398,江西理工大学,江西
400,401,401,长春师范大学,吉林
401,402,401,湖北科技学院,湖北
402,403,403,福建工程学院,福建
403,404,403,贵州师范学院,贵州
404,405,403,吉林医药学院,吉林
405,406,403,泰山医学院,山东
406,407,403,云南民族大学,云南
407,408,408,湖北理工学院,湖北
408,409,408,江西科技师范大学,江西
409,410,408,青海大学,青海
410,411,408,山东建筑大学,山东
411,412,408,西安财经学院,陕西
412,413,408,忻州师范学院,山西
413,414,408,云南农业大学,云南
414,415,415,安徽理工大学,安徽
415,416,415,广东第二师范学院,广东
416,417,415,宁波工程学院,浙江
417,418,415,沈阳大学,辽宁
418,419,415,沈阳化工大学,辽宁
419,420,420,赣南医学院,江西
420,421,420,沈阳理工大学,辽宁
421,422,420,西南科技大学,四川
422,423,420,延安大学,陕西
423,424,420,遵义医学院,贵州
424,425,425,鲁东大学,山东
425,426,425,西安文理学院,陕西
426,427,427,东华理工大学,江西
427,428,427,哈尔滨学院,黑龙江
428,429,427,江西农业大学,江西
429,430,427,辽宁石油化工大学,辽宁
430,431,427,闽江学院,福建
431,432,427,曲靖师范学院,云南
432,433,427,西南林业大学,云南
433,434,434,常州工学院,江苏
434,435,434,东莞理工学院,广东
435,436,434,石家庄学院,河北
436,437,434,中原工学院,河南
437,438,438,蚌埠医学院,安徽
438,439,438,湖南文理学院,湖南
439,440,438,辽宁科技大学,辽宁
440,441,438,唐山学院,河北
441,442,438,天津城建大学,天津
442,443,443,北京服装学院,北京
443,444,443,广东石油化工学院,广东
444,445,443,江西中医药大学,江西
445,446,443,齐齐哈尔大学,黑龙江
446,447,443,山东理工大学,山东
447,448,443,陕西理工大学,陕西
448,449,443,通化师范学院,吉林
449,450,450,成都学院,四川
450,451,450,廊坊师范学院,河北
451,452,450,齐鲁工业大学,山东
452,453,450,五邑大学,广东
453,454,454,宝鸡文理学院,陕西
454,455,454,贵州财经大学,贵州
455,456,454,华北水利水电大学,河南
456,457,454,吉林建筑大学,吉林
457,458,454,青岛农业大学,山东
458,459,454,上海电机学院,上海
459,460,460,佳木斯大学,黑龙江
460,461,460,沈阳工程学院,辽宁
461,462,460,郑州航空工业管理学院,河南
462,463,463,成都信息工程大学,四川
463,464,463,河南工程学院,河南
464,465,463,黑龙江科技大学,黑龙江
465,466,463,湖南财政经济学院,湖南
466,467,467,甘肃农业大学,甘肃
467,468,467,贵州师范大学,贵州
468,469,467,临沂大学,山东
469,470,467,四川理工学院,四川
470,471,467,皖南医学院,安徽
471,472,472,岭南师范学院,广东
472,473,472,运城学院,山西
473,474,474,赣南师范大学,江西
474,475,474,洛阳理工学院,河南
475,476,474,太原工业学院,山西
476,477,474,唐山师范学院,河北
477,478,474,中国民用航空飞行学院,四川
478,479,479,长江师范学院,重庆
479,480,479,湖北文理学院,湖北
480,481,479,昆明学院,云南
481,482,479,内江师范学院,四川
482,483,479,天津农学院,天津
483,484,479,仲恺农业工程学院,广东
484,485,485,贵州民族大学,贵州
485,486,485,黑龙江工程学院,黑龙江
486,487,485,景德镇陶瓷大学,江西
487,488,485,许昌学院,河南
488,489,489,重庆第二师范学院,重庆
489,490,489,内蒙古工业大学,内蒙古
490,491,489,钦州学院,广西
491,492,489,泉州师范学院,福建
492,493,493,北京联合大学,北京
493,494,493,重庆科技学院,重庆
494,495,493,新疆师范大学,新疆
495,496,496,衡阳师范学院,湖南
496,497,496,荆楚理工学院,湖北
497,498,496,龙岩学院,福建
498,499,496,山东工商学院,山东
499,500,496,天津职业技术师范大学,天津
500,501,496,邢台学院,河北
501,502,496,肇庆学院,广东
502,503,503,湖南工程学院,湖南
503,504,503,惠州学院,广东
504,505,503,湘南学院,湖南
505,506,506,鞍山师范学院,辽宁
506,507,506,淮阴工学院,江苏
507,508,506,洛阳师范学院,河南
508,509,506,商丘师范学院,河南
509,510,510,广西科技大学,广西
510,511,511,安庆师范大学,安徽
511,512,511,北华航天工业学院,河北
512,513,511,成都医学院,四川
513,514,511,丽水学院,浙江
514,515,511,聊城大学,山东
515,516,511,南阳师范学院,河南
516,517,517,乐山师范学院,四川
517,518,518,安徽中医药大学,安徽
518,519,518,井冈山大学,江西
519,520,518,南昌工程学院,江西
520,521,521,韩山师范学院,广东
521,522,521,合肥学院,安徽
522,523,521,湖南城市学院,湖南
523,524,521,莆田学院,福建
524,525,525,青海师范大学,青海
525,526,526,合肥师范学院,安徽
526,527,526,吉林化工学院,吉林
527,528,526,兰州城市学院,甘肃
528,529,526,绵阳师范学院,四川
529,530,526,韶关学院,广东
530,531,526,咸阳师范学院,陕西
531,532,532,河南科技学院,河南
532,533,532,新乡学院,河南
533,534,534,西北民族大学,甘肃
534,535,535,黑龙江八一农垦大学,黑龙江
535,536,535,内蒙古民族大学,内蒙古
536,537,537,邯郸学院,河北
537,538,537,宜宾学院,四川
538,539,539,北方民族大学,宁夏
539,540,539,贵阳中医学院,贵州
540,541,539,黄淮学院,河南
541,542,542,贺州学院,广西
542,543,542,红河学院,云南
543,544,542,辽东学院,辽宁
544,545,542,内蒙古农业大学,内蒙古
545,546,542,齐鲁师范学院,山东
546,547,542,渭南师范学院,陕西
547,548,548,长春工程学院,吉林
548,549,548,内蒙古科技大学,内蒙古
549,550,548,周口师范学院,河南
550,551,551,牡丹江师范学院,黑龙江
551,552,551,四川文理学院,四川
552,553,553,南阳理工学院,河南
553,554,553,内蒙古师范大学,内蒙古
554,555,553,山东交通学院,山东
555,556,553,泰山学院,山东
556,557,557,滨州学院,山东
557,558,557,黄山学院,安徽
558,559,557,嘉应学院,广东
559,560,557,衢州学院,浙江
560,561,561,池州学院,安徽
561,562,562,华北科技学院,河北
562,563,562,新疆农业大学,新疆
563,564,564,河西学院,甘肃
564,565,564,湖南工学院,湖南
565,566,566,楚雄师范学院,云南
566,567,566,铜陵学院,安徽
567,568,566,榆林学院,陕西
568,569,566,玉溪师范学院,云南
569,570,570,河南城建学院,河南
570,571,570,天水师范学院,甘肃
571,572,572,商洛学院,陕西
572,573,572,邵阳学院,湖南
573,574,574,贵阳学院,贵州
574,575,574,湖南科技学院,湖南
575,576,574,浙江万里学院,浙江
576,577,577,皖西学院,安徽
577,578,578,安阳工学院,河南
578,579,578,宜春学院,江西
579,580,580,怀化学院,湖南
580,581,581,九江学院,江西
581,582,582,重庆三峡学院,重庆
582,583,582,济宁学院,山东
583,584,584,攀枝花学院,四川
584,585,585,滁州学院,安徽
585,586,585,桂林航天工业学院,广西
586,587,587,潍坊学院,山东
587,588,588,安徽科技学院,安徽
588,589,588,伊犁师范学院,新疆
589,590,590,蚌埠学院,安徽
590,591,590,平顶山学院,河南
591,592,592,成都工业学院,四川
592,593,593,淮南师范学院,安徽
593,594,594,陇东学院,甘肃
594,595,595,德州学院,山东
595,596,596,赤峰学院,内蒙古
596,597,596,塔里木大学,新疆
597,598,598,巢湖学院,安徽
598,599,599,铜仁学院,贵州
599,600,600,西藏大学,西藏
600,601,600,枣庄学院,山东
